"TrajectID";"Variabele";"TimeIntegrationSchemeID"
"13a-1c";"KwPuntconstructies";1
"13a-1d";"Toetspeil";1
"13a-1d";"Q";2
"13a-1d";"Hs";1
"13a-1d";"Tp";1
"13a-1d";"Tm-1,0";1
"13a-1d";"HBN";1
"13a-1d";"Gras";1
"13a-1d";"KwHoogte";1
"13a-1d";"KwSluiten";1
"13a-1d";"KwPuntconstructies";1
"13b-1";"Toetspeil";1
"13b-1";"Q";2
"13b-1";"Hs";1
"13b-1";"Tp";1
"13b-1";"Tm-1,0";1
"13b-1";"HBN";1
"13b-1";"Gras";1
"13b-1";"KwHoogte";1
"13b-1";"KwSluiten";1
"13b-1";"KwPuntconstructies";1
"14-2";"Toetspeil";3
"14-2";"Q";3
"14-2";"Hs";3
"14-2";"Tp";3
"14-2";"Tm-1,0";3
"14-2";"HBN";3
"14-2";"Gras";3
"14-2";"KwHoogte";3
"14-2";"KwSluiten";3
"14-2";"KwPuntconstructies";3
"14-3";"Toetspeil";1
"14-3";"Q";1
"14-3";"Hs";1
"14-3";"Tp";1
"14-3";"Tm-1,0";1
"14-3";"HBN";1
"14-3";"Gras";1
"14-3";"KwHoogte";1
"14-3";"KwSluiten";1
"14-3";"KwPuntconstructies";1
"14-4";"Toetspeil";1
"14-4";"Q";1
"14-4";"Hs";1
"14-4";"Tp";1
"14-4";"Tm-1,0";1
"14-4";"HBN";1
"14-4";"Gras";1
"14-4";"KwHoogte";1
"14-4";"KwSluiten";1
"14-4";"KwPuntconstructies";1
"14-5";"Toetspeil";1
"14-5";"Q";1
"14-5";"Hs";1
"14-5";"Tp";1
"14-5";"Tm-1,0";1
"14-5";"HBN";1
"14-5";"Gras";1
"14-5";"KwHoogte";1
"14-5";"KwSluiten";1
"14-5";"KwPuntconstructies";1
"14-6";"Toetspeil";1
"14-6";"Q";1
"14-6";"Hs";1
"14-6";"Tp";1
"14-6";"Tm-1,0";1
"14-6";"HBN";1
"14-6";"Gras";1
"14-6";"KwHoogte";1
"14-6";"KwSluiten";1
"14-6";"KwPuntconstructies";1
"14-7";"Toetspeil";1
"14-7";"Q";1
"14-7";"Hs";1
"14-7";"Tp";1
"14-7";"Tm-1,0";1
"14-7";"HBN";1
"14-7";"Gras";1
"14-7";"KwHoogte";1
"14-7";"KwSluiten";1
"14-7";"KwPuntconstructies";1
"14-8";"Toetspeil";1
"14-8";"Q";1
"14-8";"Hs";1
"14-8";"Tp";1
"14-8";"Tm-1,0";1
"14-8";"HBN";1
"14-8";"Gras";1
"14-8";"KwHoogte";1
"14-8";"KwSluiten";1
"14-8";"KwPuntconstructies";1
"14-9";"Toetspeil";1
"14-9";"Q";1
"14-9";"Hs";1
"14-9";"Tp";1
"14-9";"Tm-1,0";1
"14-9";"HBN";1
"14-9";"Gras";1
"14-9";"KwHoogte";1
"14-9";"KwSluiten";1
"14-9";"KwPuntconstructies";1
"14-10";"Toetspeil";1
"14-10";"Q";1
"14-10";"Hs";1
"14-10";"Tp";1
"14-10";"Tm-1,0";1
"14-10";"HBN";1
"14-10";"Gras";1
"14-10";"KwHoogte";1
"14-10";"KwSluiten";1
"14-10";"KwPuntconstructies";1
"15-1";"Toetspeil";1
"15-1";"Q";3
"15-1";"Hs";3
"15-1";"Tp";3
"15-1";"Tm-1,0";3
"15-1";"HBN";3
"15-1";"Gras";3
"15-1";"KwHoogte";3
"15-1";"KwSluiten";3
"15-1";"KwPuntconstructies";3
"15-2";"Toetspeil";3
"15-2";"Q";3
"15-2";"Hs";3
"15-2";"Tp";3
"15-2";"Tm-1,0";3
"15-2";"HBN";3
"15-2";"Gras";3
"15-2";"KwHoogte";3
"15-2";"KwSluiten";3
"15-2";"KwPuntconstructies";3
"16-1";"Toetspeil";1
"16-1";"Q";1
"16-1";"Hs";1
"16-1";"Tp";1
"16-1";"Tm-1,0";1
"16-1";"HBN";1
"16-1";"Gras";1
"16-1";"KwHoogte";1
"16-1";"KwSluiten";1
"16-1";"KwPuntconstructies";1
"16-2";"Toetspeil";3
"16-2";"Q";3
"16-2";"Hs";3
"16-2";"Tp";3
"16-2";"Tm-1,0";3
"16-2";"HBN";3
"16-2";"Gras";3
"16-2";"KwHoogte";3
"16-2";"KwSluiten";3
"16-2";"KwPuntconstructies";3
"16-3";"Toetspeil";3
"16-3";"Q";3
"16-3";"Hs";3
"16-3";"Tp";3
"16-3";"Tm-1,0";3
"16-3";"HBN";3
"16-3";"Gras";3
"16-3";"KwHoogte";3
"16-3";"KwSluiten";3
"16-3";"KwPuntconstructies";3
"16-4";"Toetspeil";3
"16-4";"Q";3
"16-4";"Hs";3
"16-4";"Tp";3
"16-4";"Tm-1,0";3
"16-4";"HBN";3
"16-4";"Gras";3
"16-4";"KwHoogte";3
"16-4";"KwSluiten";3
"16-4";"KwPuntconstructies";3
"16-5";"Toetspeil";1
"16-5";"Q";1
"16-5";"Hs";1
"16-5";"Tp";1
"16-5";"Tm-1,0";1
"16-5";"HBN";1
"16-5";"Gras";1
"16-5";"KwHoogte";1
"16-5";"KwSluiten";1
"16-5";"KwPuntconstructies";1
"17-1";"Toetspeil";3
"17-1";"Q";1
"17-1";"Hs";1
"17-1";"Tp";1
"17-1";"Tm-1,0";1
"17-1";"HBN";1
"17-1";"Gras";1
"17-1";"KwHoogte";1
"17-1";"KwSluiten";1
"17-1";"KwPuntconstructies";1
"17-2";"Toetspeil";3
"17-2";"Q";1
"17-2";"Hs";1
"17-2";"Tp";1
"17-2";"Tm-1,0";1
"17-2";"HBN";1
"17-2";"Gras";1
"17-2";"KwHoogte";1
"17-2";"KwSluiten";1
"17-2";"KwPuntconstructies";1
"17-3";"Toetspeil";3
"17-3";"Q";1
"17-3";"Hs";1
"17-3";"Tp";1
"17-3";"Tm-1,0";1
"17-3";"HBN";1
"17-3";"Gras";1
"17-3";"KwHoogte";1
"17-3";"KwSluiten";1
"17-3";"KwPuntconstructies";1
"18-1";"Toetspeil";3
"18-1";"Q";1
"18-1";"Hs";1
"18-1";"Tp";1
"18-1";"Tm-1,0";1
"18-1";"HBN";1
"18-1";"Gras";1
"18-1";"KwHoogte";1
"18-1";"KwSluiten";1
"18-1";"KwPuntconstructies";1
"19-1a";"Toetspeil";1
"19-1a";"Q";1
"19-1a";"Hs";1
"19-1a";"Tp";1
"19-1a";"Tm-1,0";1
"19-1a";"HBN";1
"19-1a";"Gras";1
"19-1a";"KwHoogte";1
"19-1a";"KwSluiten";1
"19-1a";"KwPuntconstructies";1
"19-1b";"Toetspeil";1
"19-1b";"Q";1
"19-1b";"Hs";1
"19-1b";"Tp";1
"19-1b";"Tm-1,0";1
"19-1b";"HBN";1
"19-1b";"Gras";1
"19-1b";"KwHoogte";1
"19-1b";"KwSluiten";1
"19-1b";"KwPuntconstructies";1
"20-1";"Toetspeil";1
"20-1";"Q";1
"20-1";"Hs";1
"20-1";"Tp";1
"20-1";"Tm-1,0";1
"20-1";"HBN";1
"20-1";"Gras";1
"20-1";"KwHoogte";1
"20-1";"KwSluiten";1
"20-1";"KwPuntconstructies";1
"20-2";"Toetspeil";1
"20-2";"Q";1
"20-2";"Hs";1
"20-2";"Tp";1
"20-2";"Tm-1,0";1
"20-2";"HBN";1
"20-2";"Gras";1
"20-2";"KwHoogte";1
"20-2";"KwSluiten";1
"20-2";"KwPuntconstructies";1
"20-3";"Toetspeil";3
"20-3";"Q";3
"20-3";"Hs";3
"20-3";"Tp";3
"20-3";"Tm-1,0";3
"20-3";"HBN";3
"20-3";"Gras";3
"20-3";"KwHoogte";3
"20-3";"KwSluiten";3
"20-3";"KwPuntconstructies";3
"20-4";"Toetspeil";3
"20-4";"Q";3
"20-4";"Hs";3
"20-4";"Tp";3
"20-4";"Tm-1,0";3
"20-4";"HBN";3
"20-4";"Gras";3
"20-4";"KwHoogte";3
"20-4";"KwSluiten";3
"20-4";"KwPuntconstructies";3
"21-1";"Toetspeil";3
"21-1";"Q";3
"21-1";"Hs";3
"21-1";"Tp";3
"21-1";"Tm-1,0";3
"21-1";"HBN";3
"21-1";"Gras";3
"21-1";"KwHoogte";3
"21-1";"KwSluiten";3
"21-1";"KwPuntconstructies";3
"21-2";"Toetspeil";3
"21-2";"Q";3
"21-2";"Hs";3
"21-2";"Tp";3
"21-2";"Tm-1,0";3
"21-2";"HBN";3
"21-2";"Gras";3
"21-2";"KwHoogte";3
"21-2";"KwSluiten";3
"21-2";"KwPuntconstructies";3
"22-1";"Toetspeil";3
"22-1";"Q";3
"22-1";"Hs";3
"22-1";"Tp";3
"22-1";"Tm-1,0";3
"22-1";"HBN";3
"22-1";"Gras";3
"22-1";"KwHoogte";3
"22-1";"KwSluiten";3
"22-1";"KwPuntconstructies";3
"22-2";"Toetspeil";3
"22-2";"Q";3
"22-2";"Hs";3
"22-2";"Tp";3
"22-2";"Tm-1,0";3
"22-2";"HBN";3
"22-2";"Gras";3
"22-2";"KwHoogte";3
"22-2";"KwSluiten";3
"22-2";"KwPuntconstructies";3
"23-1";"Toetspeil";1
"23-1";"Q";3
"23-1";"Hs";3
"23-1";"Tp";3
"23-1";"Tm-1,0";3
"23-1";"HBN";3
"23-1";"Gras";3
"23-1";"KwHoogte";3
"23-1";"KwSluiten";3
"23-1";"KwPuntconstructies";3
"24-1";"Toetspeil";1
"24-1";"Q";1
"24-1";"Hs";1
"24-1";"Tp";1
"24-1";"Tm-1,0";1
"24-1";"HBN";1
"24-1";"Gras";1
"24-1";"KwHoogte";1
"24-1";"KwSluiten";1
"24-1";"KwPuntconstructies";1
"24-2";"Toetspeil";1
"24-2";"Q";1
"24-2";"Hs";1
"24-2";"Tp";1
"24-2";"Tm-1,0";1
"24-2";"HBN";1
"24-2";"Gras";1
"24-2";"KwHoogte";1
"24-2";"KwSluiten";1
"24-2";"KwPuntconstructies";1
"24-3";"Toetspeil";1
"24-3";"Q";1
"24-3";"Hs";3
"24-3";"Tp";3
"24-3";"Tm-1,0";3
