"TrajectID";"Variabele";"Min";"Max"
"48-1";"Toetspeil";15.24;17.24
"48-1";"Hs";0.05;2.05
"48-1";"HBN";15.87;17.87
"48-2";"Toetspeil";11.19;13.19
"48-2";"Hs";0.13;2.13
"48-2";"HBN";12.03;14.03
"49-2";"Toetspeil";9.78;11.78
"49-2";"Hs";-0.07;1.93
"49-2";"HBN";10.27;12.27
"50-1";"Toetspeil";8.71;10.71
"50-1";"Hs";-0.09;1.91
"50-1";"HBN";9.13;11.13
"50-2";"Toetspeil";7.93;9.93
"50-2";"Hs";-0.05;1.95
"50-2";"HBN";8.15;10.15
"51-1";"Toetspeil";7.40;9.40
"51-1";"Hs";-0.01;1.99
"51-1";"HBN";7.99;9.99
"52-1";"Toetspeil";10.45;12.45
"52-1";"Hs";-0.15;1.85
"52-1";"HBN";10.87;12.87
"52-2";"Toetspeil";6.12;8.12
"52-2";"Hs";-0.26;1.74
"52-2";"HBN";6.36;8.36
"52-3";"Toetspeil";4.50;6.50
"52-3";"Hs";-0.42;1.58
"52-3";"HBN";4.84;6.84
"52-4";"Toetspeil";4.10;6.10
"52-4";"Hs";-0.39;1.61
"52-4";"HBN";4.38;6.38
"52a-1";"Toetspeil";4.66;6.66
"52a-1";"Hs";-0.25;1.75
"52a-1";"HBN";5.01;7.01
"53-1";"Toetspeil";6.50;8.50
"53-1";"Hs";-0.00;2.00
"53-1";"HBN";6.86;8.86
"53-2";"Toetspeil";4.61;6.61
"53-2";"Hs";0.00;2.00
"53-2";"HBN";5.34;7.34
"53-3";"Toetspeil";2.65;4.65
"53-3";"Hs";-0.21;1.79
"53-3";"HBN";2.93;4.93
"54-1";"Toetspeil";13.31;15.76
"54-1";"Hs";-0.29;1.71
"54-1";"HBN";13.80;15.85
"54-1a";"Toetspeil";13.31;15.76
"54-1a";"Hs";-0.29;1.71
"54-1a";"HBN";13.80;15.85
"54-1b";"Toetspeil";13.31;15.76
"54-1b";"Hs";-0.29;1.71
"54-1b";"HBN";13.80;15.85
"54-1c";"Toetspeil";13.31;15.76
"54-1c";"Hs";-0.29;1.71
"54-1c";"HBN";13.80;15.85
"54-1d";"Toetspeil";13.31;15.76
"54-1d";"Hs";-0.29;1.71
"54-1d";"HBN";13.80;15.85
"55-1a";"Toetspeil";13.31;15.76
"55-1a";"Hs";-0.29;1.71
"55-1a";"HBN";13.80;15.85
"55-1b";"Toetspeil";13.31;15.76
"55-1b";"Hs";-0.29;1.71
"55-1b";"HBN";13.80;15.85
"56-1";"Toetspeil";13.31;15.76
"56-1";"Hs";-0.29;1.71
"56-1";"HBN";13.80;15.85
"57-1a";"Toetspeil";15.75;17.83
"57-1a";"Hs";-0.26;1.74
"57-1a";"HBN";16.34;18.34
"57-1b";"Toetspeil";15.75;17.83
"57-1b";"Hs";-0.26;1.74
"57-1b";"HBN";16.34;18.34
"57-1c";"Toetspeil";15.75;17.83
"57-1c";"Hs";-0.26;1.74
"57-1c";"HBN";16.34;18.34
"57-1d";"Toetspeil";15.75;17.83
"57-1d";"Hs";-0.26;1.74
"57-1d";"HBN";16.34;18.34
"57-1e";"Toetspeil";15.75;17.83
"57-1e";"Hs";-0.26;1.74
"57-1e";"HBN";16.34;18.34
"58-1a";"Toetspeil";13.31;15.76
"58-1a";"Hs";-0.29;1.71
"58-1a";"HBN";13.80;15.85
"58-1b";"Toetspeil";13.31;15.76
"58-1b";"Hs";-0.29;1.71
"58-1b";"HBN";13.80;15.85
"59-1";"Toetspeil";15.75;17.83
"59-1";"Hs";-0.26;1.74
"59-1";"HBN";16.34;18.34
"60-1a";"Toetspeil";15.75;17.83
"60-1a";"Hs";-0.26;1.74
"60-1a";"HBN";16.34;18.34
"60-1b";"Toetspeil";15.75;17.83
"60-1b";"Hs";-0.26;1.74
"60-1b";"HBN";16.34;18.34
"60-1c";"Toetspeil";15.75;17.83
"60-1c";"Hs";-0.26;1.74
"60-1c";"HBN";16.34;18.34
"60-1d";"Toetspeil";15.75;17.83
"60-1d";"Hs";-0.26;1.74
"60-1d";"HBN";16.34;18.34
"60-1e";"Toetspeil";15.75;17.83
"60-1e";"Hs";-0.26;1.74
"60-1e";"HBN";16.34;18.34
"61-1a";"Toetspeil";15.75;17.83
"61-1a";"Hs";-0.26;1.74
"61-1a";"HBN";16.34;18.34
"61-1b";"Toetspeil";15.75;17.83
"61-1b";"Hs";-0.26;1.74
"61-1b";"HBN";16.34;18.34
"61-1c";"Toetspeil";15.75;17.83
"61-1c";"Hs";-0.26;1.74
"61-1c";"HBN";16.34;18.34
"61-1d";"Toetspeil";15.75;17.83
"61-1d";"Hs";-0.26;1.74
"61-1d";"HBN";16.34;18.34
"63-1a";"Toetspeil";15.75;17.83
"63-1a";"Hs";-0.26;1.74
"63-1a";"HBN";16.34;18.34
"63-1b";"Toetspeil";15.75;17.83
"63-1b";"Hs";-0.26;1.74
"63-1b";"HBN";16.34;18.34
"63-1c";"Toetspeil";15.75;17.83
"63-1c";"Hs";-0.26;1.74
"63-1c";"HBN";16.34;18.34
"63-1d";"Toetspeil";15.75;17.83
"63-1d";"Hs";-0.26;1.74
"63-1d";"HBN";16.34;18.34
"64-1a";"Toetspeil";15.75;17.83
"64-1a";"Hs";-0.26;1.74
"64-1a";"HBN";16.34;18.34
"64-1b";"Toetspeil";15.75;17.83
"64-1b";"Hs";-0.26;1.74
"64-1b";"HBN";16.34;18.34
"64-1c";"Toetspeil";15.75;17.83
"64-1c";"Hs";-0.26;1.74
"64-1c";"HBN";16.34;18.34
"65-1a";"Toetspeil";15.75;17.83
"65-1a";"Hs";-0.26;1.74
"65-1a";"HBN";16.34;18.34
"65-1b";"Toetspeil";15.75;17.83
"65-1b";"Hs";-0.26;1.74
"65-1b";"HBN";16.34;18.34
"66-1";"Toetspeil";15.75;17.83
"66-1";"Hs";-0.26;1.74
"66-1";"HBN";16.34;18.34
"67-1";"Toetspeil";18.04;20.47
"67-1";"Hs";-0.28;1.72
"67-1";"HBN";18.75;20.88
"68-1";"Toetspeil";18.04;20.47
"68-1";"Hs";-0.28;1.72
"68-1";"HBN";18.75;20.88
"68-2a";"Toetspeil";18.04;20.47
"68-2a";"Hs";-0.28;1.72
"68-2a";"HBN";18.75;20.88
"68-2b";"Toetspeil";18.04;20.47
"68-2b";"Hs";-0.28;1.72
"68-2b";"HBN";18.75;20.88
"68-2c";"Toetspeil";18.04;20.47
"68-2c";"Hs";-0.28;1.72
"68-2c";"HBN";18.75;20.88
"69-1";"Toetspeil";18.04;20.47
"69-1";"Hs";-0.28;1.72
"69-1";"HBN";18.75;20.88
"70-1";"Toetspeil";18.04;20.47
"70-1";"Hs";-0.28;1.72
"70-1";"HBN";18.75;20.88
"71-1";"Toetspeil";20.51;23.23
"71-1";"Hs";-0.12;1.88
"71-1";"HBN";21.60;23.81
"72-1";"Toetspeil";20.51;23.23
"72-1";"Hs";-0.12;1.88
"72-1";"HBN";21.60;23.81
"73-1a";"Toetspeil";20.51;23.23
"73-1a";"Hs";-0.12;1.88
"73-1a";"HBN";21.60;23.81
"73-1b";"Toetspeil";20.51;23.23
"73-1b";"Hs";-0.12;1.88
"73-1b";"HBN";21.60;23.81
"73-1c";"Toetspeil";20.51;23.23
"73-1c";"Hs";-0.12;1.88
"73-1c";"HBN";21.60;23.81
"74-1a";"Toetspeil";20.51;23.23
"74-1a";"Hs";-0.12;1.88
"74-1a";"HBN";21.60;23.81
"74-1b";"Toetspeil";20.51;23.23
"74-1b";"Hs";-0.12;1.88
"74-1b";"HBN";21.60;23.81
"75-1a";"Toetspeil";20.51;23.23
"75-1a";"Hs";-0.12;1.88
"75-1a";"HBN";21.60;23.81
"75-1b";"Toetspeil";20.51;23.23
"75-1b";"Hs";-0.12;1.88
"75-1b";"HBN";21.60;23.81
"75-1c";"Toetspeil";20.51;23.23
"75-1c";"Hs";-0.12;1.88
"75-1c";"HBN";21.60;23.81
"76-1a";"Toetspeil";20.51;23.23
"76-1a";"Hs";-0.12;1.88
"76-1a";"HBN";21.60;23.81
"76-1b";"Toetspeil";20.51;23.23
"76-1b";"Hs";-0.12;1.88
"76-1b";"HBN";21.60;23.81
"76-1c";"Toetspeil";20.51;23.23
"76-1c";"Hs";-0.12;1.88
"76-1c";"HBN";21.60;23.81
"76-2a";"Toetspeil";20.51;23.23
"76-2a";"Hs";-0.12;1.88
"76-2a";"HBN";21.60;23.81
"76-2b";"Toetspeil";20.51;23.23
"76-2b";"Hs";-0.12;1.88
"76-2b";"HBN";21.60;23.81
"76a-1";"Toetspeil";20.51;23.23
"76a-1";"Hs";-0.12;1.88
"76a-1";"HBN";21.60;23.81
"77-1";"Toetspeil";20.51;23.23
"77-1";"Hs";-0.12;1.88
"77-1";"HBN";21.60;23.81
"78-1a";"Toetspeil";23.24;25.59
"78-1a";"Hs";-0.00;2.00
"78-1a";"HBN";24.33;26.61
"78-1b";"Toetspeil";23.24;25.59
"78-1b";"Hs";-0.00;2.00
"78-1b";"HBN";24.33;26.61
"78a-1";"Toetspeil";23.24;25.59
"78a-1";"Hs";-0.00;2.00
"78a-1";"HBN";24.33;26.61
"79-1";"Toetspeil";23.24;25.59
"79-1";"Hs";-0.00;2.00
"79-1";"HBN";24.33;26.61
"80-1a";"Toetspeil";23.24;25.59
"80-1a";"Hs";-0.00;2.00
"80-1a";"HBN";24.33;26.61
"80-1b";"Toetspeil";23.24;25.59
"80-1b";"Hs";-0.00;2.00
"80-1b";"HBN";24.33;26.61
"81-1";"Toetspeil";23.24;25.59
"81-1";"Hs";-0.00;2.00
"81-1";"HBN";24.33;26.61
"82-1";"Toetspeil";23.24;25.59
"82-1";"Hs";-0.00;2.00
"82-1";"HBN";24.33;26.61
"83-1a";"Toetspeil";37.43;39.88
"83-1a";"Hs";-0.22;1.78
"83-1a";"HBN";37.90;39.90
"83-1b";"Toetspeil";37.43;39.88
"83-1b";"Hs";-0.22;1.78
"83-1b";"HBN";37.90;39.90
"85-1a";"Toetspeil";37.43;39.88
"85-1a";"Hs";-0.22;1.78
"85-1a";"HBN";37.90;39.90
"85-1b";"Toetspeil";37.43;39.88
"85-1b";"Hs";-0.22;1.78
"85-1b";"HBN";37.90;39.90
"86-1";"Toetspeil";37.43;39.88
"86-1";"Hs";-0.22;1.78
